"","Station_ID","UTM_X","UTM_Y","days","Subpop","counts"
"1","104_CC_D1",1355931.47917343,701148.455473714,453,"Cariboo",0
"2","109.1",1345643.95067469,754160.79630394,88,"Cariboo",0
"3","119",1314535.73421161,700254.27811072,566,"Cariboo",0
"4","1291.0999999999999",1320873.59094682,737192.782597756,379,"Cariboo",0
"5","1602.1",1348034.9595246,733182.25682517,83,"Cariboo",0
"6","1602.1_R",1348052.63389644,733096.630920788,259,"Cariboo",0
"7","1815.3",1348900.44927668,715117.94413568,216,"Cariboo",0
"8","1832.1",1364582.84882518,730179.262892257,103,"Cariboo",0
"9","1930.1",1321135.23145214,727578.866988155,128,"Cariboo",0
"10","2042.5",1362408.13033925,727019.264659105,103,"Cariboo",0
"11","209D1",1349263.43986601,699339.173187708,568,"Cariboo",0
"12","2453.1",1346682.57741811,720699.545212938,94,"Cariboo",0
"13","2590.1_R",1341499.94240451,719159.922643925,425,"Cariboo",0
"14","2601.1",1353665.61806115,718792.846786603,291,"Cariboo",0
"15","2732.1",1341791.78670655,717429.766063887,240,"Cariboo",0
"16","2817.1",1356105.94445894,715648.366872246,350,"Cariboo",0
"17","283",1321663.45144272,697578.657092041,792,"Cariboo",0
"18","2858.1",1326268.40504242,714971.503062987,177,"Cariboo",0
"19","2861.1",1329231.38664026,714725.057748789,307,"Cariboo",0
"20","29",1337456.18451703,702008.288245615,146,"Cariboo",0
"21","2929",1324616.57199918,650024.536323092,56,"Cariboo",0
"22","3011.1",1336877.33134146,713427.195202807,292,"Cariboo",0
"23","3011.1_R",1336728.84643491,713529.358319116,231,"Cariboo",0
"24","3087.1",1342345.50028682,712351.985035227,205,"Cariboo",0
"25","328D1",1356703.15702175,697009.548440131,344,"Cariboo",0
"26","3315.1",1357251.61225184,709431.842008201,174,"Cariboo",0
"27","3438.1",1338460.01490401,707249.369533373,219,"Cariboo",0
"28","3591D1",1315081.70066062,638382.566938267,160,"Cariboo",0
"29","365",1318007.92794631,750428.066022184,286,"Cariboo",0
"30","3743.1",1358788.74512344,703016.066042137,258,"Cariboo",0
"31","3766",1322163.17959316,634962.002321481,453,"Cariboo",0
"32","3802.1",1346597.48060193,702264.286005979,1063,"Cariboo",0
"33","3816",1316480.61207006,634296.631071683,169,"Cariboo",0
"34","3988.4",1319590.04966675,698529.961532499,797,"Cariboo",0
"35","4210.5",1328725.82455415,696089.627130745,1041,"Cariboo",0
"36","4210_R",1328504.73632776,695636.17743278,1041,"Cariboo",0
"37","4492",1326876.00383125,692335.391983407,933,"Cariboo",0
"38","4543.3999999999996",1378159.18814997,691718.61119756,308,"Cariboo",0
"39","4912.1000000000004",1321480.69734845,686466.491433158,726,"Cariboo",1
"40","5399.2",1311408.53867912,679365.489922761,464,"Cariboo",0
"41","5717_R",1345230.59838925,675493.955131215,172,"Cariboo",0
"42","573.1",1313353.5895714,747231.413976483,211,"Cariboo",0
"43","573_R",1313404.12650243,747357.829604175,641,"Cariboo",0
"44","5983.5",1327126.2995688,671336.982109451,684,"Cariboo",1
"45","643",1334890.21823655,690834.252217236,298,"Cariboo",0
"46","6601_R",1377145.49042095,662585.700061621,301,"Cariboo",0
"47","67D1",1319113.32504306,700842.547767154,576,"Cariboo",0
"48","7395.1",1319057.58743445,650907.859326592,794,"Cariboo",0
"49","749.1",1347319.80692822,744814.555578619,83,"Cariboo",0
"50","77",1337830.04109257,691522.143582043,511,"Cariboo",0
"51","778",1358308.99277177,689093.135228563,160,"Cariboo",0
"52","80",1331922.28757978,700145.82025777,291,"Cariboo",0
"53","80_R",1331800.90924529,699890.580636726,291,"Cariboo",0
"54","856.1",1312438.50378089,742720.647403408,211,"Cariboo",0
"55","856_R",1312658.94893917,742744.908770566,290,"Cariboo",0
"56","931.4",1315745.42209638,741548.308703981,119,"Cariboo",0
"57","PB-01",1325671.68188193,773312.717169231,35,"Cariboo",0
"58","PB-02",1319777.51509459,772961.032267626,35,"Cariboo",0
"59","PB-03",1324393.71170189,773191.567698153,35,"Cariboo",0
"60","PB-04",1297461.15910922,764860.988256994,35,"Cariboo",0
"61","PB-05",1323877.7716807,773128.262278348,35,"Cariboo",0
"62","PB-06",1323362.88370848,773179.33852944,35,"Cariboo",0
"63","PB-07",1322762.03681279,772975.986533854,35,"Cariboo",0
"64","PB-08",1321927.10982851,772986.227881563,35,"Cariboo",0
"65","RC-01",1295978.58180049,771308.784985812,75,"Cariboo",1
"66","RC-02",1295756.49427713,771150.823248377,75,"Cariboo",0
"67","RC-03",1295775.14367265,766625.135290238,75,"Cariboo",0
"68","RC-04",1297461.15910922,764860.988256994,75,"Cariboo",0
"69","RC-05",1292414.92072029,764182.309452262,75,"Cariboo",1
"70","RC-07",1292132.81987554,766886.279014371,75,"Cariboo",5
"71","RC-08",1291499.13294186,767793.914053091,75,"Cariboo",1
"72","BP-01",1371969.56152802,710284.982090515,367,"Cariboo",2
"73","BP-03",1369190.00213044,728378.429449599,366,"Cariboo",0
"74","BP-04",1352022.77001648,721565.521305979,366,"Cariboo",0
"75","BP-05",1370573.06712868,683013.060296948,365,"Cariboo",0
"76","BP-06",1376082.70514056,679175.801302094,366,"Cariboo",0
"77","BP-11",1341607.14533988,723181.579310376,366,"Cariboo",0
"78","BP-12",1372763.51166868,666864.01028186,366,"Cariboo",0
"79","BP-13",1350993.43994585,679551.982647619,366,"Cariboo",0
"80","BP-14",1351030.02092225,707715.643912436,364,"Cariboo",0
"81","BP-16",1349706.10694932,713580.445460765,366,"Cariboo",0
"82","BP-17",1376019.86896167,660500.111441769,362,"Cariboo",0
"83","BP-18",1400218.91632685,679750.80651808,366,"Cariboo",0
"84","BP-19",1330730.17232121,699139.844220977,363,"Cariboo",0
"85","BP-20",1372119.3954089,660357.211801897,361,"Cariboo",0
"86","BP-21",1399837.78610754,682677.689821749,366,"Cariboo",0
"87","BP-22",1339282.59469684,693206.773966195,362,"Cariboo",0
"88","BP-23",1341416.31078297,716295.591533834,363,"Cariboo",0
"89","BP-24",1349563.76077284,683584.01897496,366,"Cariboo",4
"90","BP-25",1357990.80520856,703529.107371449,366,"Cariboo",0
"91","BP-26",1322762.06305628,699699.726424909,363,"Cariboo",0
"92","BP-27",1348336.50419304,730838.167501759,365,"Cariboo",0
"93","BP-28",1324708.63084917,709161.901993081,363,"Cariboo",0
"94","BP-30",1354088.65899431,731766.724112059,366,"Cariboo",3
"95","BP-31",1376043.00994961,723642.003511199,366,"Cariboo",0
"96","BP-32",1368919.83750279,687295.349321437,365,"Cariboo",0
"97","BP-33",1387915.89263204,706640.389576445,366,"Cariboo",0
"98","BP-34",1362710.15173848,706914.983782315,367,"Cariboo",0
"99","BP-37",1347299.79451363,699388.049005719,363,"Cariboo",0
"100","BP-38",1392891.68087635,670133.803584967,367,"Cariboo",0
"101","BP-39",1351215.33424414,671440.098870716,367,"Cariboo",0
"102","BP-40",1364686.51663721,694351.078504235,367,"Cariboo",0
"103","BP-42",1335032.44276493,720784.540661698,363,"Cariboo",0
"104","BP-43",1362812.38779493,673548.175199794,365,"Cariboo",0
"105","BP-44",1367721.87672355,707212.895598999,366,"Cariboo",0
"106","BP-45",1332640.94193179,708945.634103752,363,"Cariboo",0
"107","BP-46",1390881.54905849,662926.001018304,366,"Cariboo",0
"108","BP-48",1394948.50137057,692386.591797446,366,"Cariboo",0
"109","BP-49",1382112.09860744,734603.476139558,366,"Cariboo",0
"110","RC-06",1191471.17962072,759938.392698015,75,"Chilcotin",0
"111","PGS-01",1182245.99113639,975826.31098113,357,"Chilcotin",0
"112","PGS-02",1153359.6742359,913381.381679922,352,"Chilcotin",1
"113","PGS-03",1140042.74543598,922327.732542613,352,"Chilcotin",0
"114","PGS-04",1114877.15150025,911125.290434405,353,"Chilcotin",5
"115","PGS-05",1157512.19991301,937680.219763302,350,"Chilcotin",0
"116","PGS-06",1125279.49293959,948089.018675946,352,"Chilcotin",1
"117","PGS-07",1134002.11714002,923784.896131886,352,"Chilcotin",0
"118","PGS-09",1137465.68145678,953530.589584606,352,"Chilcotin",0
"119","PGS-11",1136132.59421561,963987.911546015,350,"Chilcotin",0
"120","PGS-12",1121907.82994898,933926.71042335,352,"Chilcotin",2
"121","PGS-14",1107684.57247091,944368.591268019,354,"Chilcotin",0
"122","PGS-15",1138701.30032111,959136.799242516,350,"Chilcotin",0
"123","PGS-16",1105404.68547385,916132.56232935,353,"Chilcotin",0
"124","PGS-17",1192858.74260328,927089.183554625,354,"Chilcotin",2
"125","PGS-18",1139784.63712162,925235.700546599,352,"Chilcotin",0
"126","PGS-19",1195166.23209316,941009.892526549,355,"Chilcotin",1
"127","PGS-20",1184268.73301139,955480.610619333,348,"Chilcotin",1
"128","PGS-25",1160634.97151383,940399.786874082,350,"Chilcotin",0
"129","PGS-26",1179356.0048884,943905.947346159,351,"Chilcotin",0
"130","PGS-28",1146094.01101543,947990.154542643,352,"Chilcotin",2
"131","PGS-29",1182244.47019495,958638.709371874,348,"Chilcotin",0
"132","PGS-30",1213291.79353504,967070.526281679,351,"Chilcotin",1
"133","PGS-31",1178661.9505903,931604.34983277,352,"Chilcotin",0
"134","PGS-32",1162215.89787516,960268.496302532,347,"Chilcotin",0
"135","PGS-33",1186338.09152265,977987.589496905,357,"Chilcotin",0
"136","PGS-34",1182219.77003085,934282.470686889,352,"Chilcotin",0
"137","PGS-35",1198111.8313739,956142.978323096,348,"Chilcotin",6
